"filename", "language", "JSON", "Log", "JavaScript", "comment", "blank", "total"
"e:\FYP-WORK\FypApp\src\constants\FootballTournamentsList.js", "JavaScript", 0, 0, 30, 0, 1, 31
"e:\FYP-WORK\FypApp\src\constants\Gender.js", "JavaScript", 0, 0, 10, 0, 1, 11
"e:\FYP-WORK\FypApp\src\constants\Screens.js", "JavaScript", 0, 0, 28, 0, 1, 29
"e:\FYP-WORK\FypApp\src\constants\SportsCategories.js", "JavaScript", 0, 0, 10, 0, 1, 11
"e:\FYP-WORK\FypApp\src\constants\TextSize.js", "JavaScript", 0, 0, 6, 0, 1, 7
"e:\FYP-WORK\FypApp\src\constants\Theme.js", "JavaScript", 0, 0, 11, 0, 1, 12
"e:\FYP-WORK\FypApp\src\constants\YearsList.js", "JavaScript", 0, 0, 166, 0, 1, 167
"e:\FYP-WORK\FypApp\src\screens\AccountScreen.js", "JavaScript", 0, 0, 53, 0, 5, 58
"e:\FYP-WORK\FypApp\src\screens\ActorEducation.js", "JavaScript", 0, 0, 270, 1, 4, 275
"e:\FYP-WORK\FypApp\src\screens\ActorHobbies.js", "JavaScript", 0, 0, 210, 0, 5, 215
"e:\FYP-WORK\FypApp\src\screens\ActorWEScreen.js", "JavaScript", 0, 0, 37, 0, 5, 42
"e:\FYP-WORK\FypApp\src\screens\CategoryScreen.js", "JavaScript", 0, 0, 100, 0, 8, 108
"e:\FYP-WORK\FypApp\src\screens\CelebBio.js", "JavaScript", 0, 0, 216, 1, 7, 224
"e:\FYP-WORK\FypApp\src\screens\ForgotPasword\CreateNewPasswordScreen.js", "JavaScript", 0, 0, 76, 0, 7, 83
"e:\FYP-WORK\FypApp\src\screens\ForgotPasword\SearchAccountScreen.js", "JavaScript", 0, 0, 59, 0, 5, 64
"e:\FYP-WORK\FypApp\src\screens\Gallery.js", "JavaScript", 0, 0, 210, 0, 8, 218
"e:\FYP-WORK\FypApp\src\screens\GenerateApk.js", "JavaScript", 0, 0, 69, 0, 2, 71
"e:\FYP-WORK\FypApp\src\screens\LoginScreen.js", "JavaScript", 0, 0, 114, 0, 11, 125
"e:\FYP-WORK\FypApp\src\screens\NamingAppScreen.js", "JavaScript", 0, 0, 77, 0, 7, 84
"e:\FYP-WORK\FypApp\src\screens\Politician\PoliticianAchievementScreen.js", "JavaScript", 0, 0, 218, 0, 11, 229
"e:\FYP-WORK\FypApp\src\screens\Politician\PoliticianEducationScreen.js", "JavaScript", 0, 0, 115, 0, 9, 124
"e:\FYP-WORK\FypApp\src\screens\Politician\PoliticianInfoScreen.js", "JavaScript", 0, 0, 115, 0, 8, 123
"e:\FYP-WORK\FypApp\src\screens\Politician\PoliticianProjectScreen.js", "JavaScript", 0, 0, 199, 0, 15, 214
"e:\FYP-WORK\FypApp\src\screens\SignUpScreen.js", "JavaScript", 0, 0, 114, 0, 9, 123
"e:\FYP-WORK\FypApp\src\screens\SingerAchivementsModal.js", "JavaScript", 0, 0, 84, 0, 5, 89
"e:\FYP-WORK\FypApp\src\screens\SingerConcertDetails.js", "JavaScript", 0, 0, 376, 0, 4, 380
"e:\FYP-WORK\FypApp\src\screens\SingerWorkExperiance.js", "JavaScript", 0, 0, 45, 0, 3, 48
"e:\FYP-WORK\FypApp\src\screens\SocialAccounts.js", "JavaScript", 0, 0, 294, 0, 10, 304
"e:\FYP-WORK\FypApp\src\screens\Splash.js", "JavaScript", 0, 0, 17, 0, 4, 21
"e:\FYP-WORK\FypApp\src\screens\SportsScreen\CricketStatisticsScreen.js", "JavaScript", 0, 0, 243, 0, 11, 254
"e:\FYP-WORK\FypApp\src\screens\SportsScreen\FootballStatisticsScreen.js", "JavaScript", 0, 0, 244, 0, 11, 255
"e:\FYP-WORK\FypApp\src\screens\SportsScreen\SportsAchievementsScreen.js", "JavaScript", 0, 0, 222, 0, 10, 232
"e:\FYP-WORK\FypApp\src\screens\SportsScreen\SportsInfoScreen.js", "JavaScript", 0, 0, 131, 0, 9, 140
"e:\FYP-WORK\FypApp\yarn-error.log", "Log", 0, 6136, 0, 0, 950, 7086
"Total", "-", 24, 6136, 8882, 36, 1449, 16527
